month,monthly_ridership
2019-01,380333.5
2019-02,328975.5
2019-03,380047.0
2019-04,356288.0
2019-05,420191.0
2019-06,348056.0
2019-07,331576.0
2019-08,312310.0
2019-09,365659.0
2019-10,401647.0
2019-11,339080.0
2019-12,336326.0
2020-01,360943.0
2020-02,321294.0
2020-03,200584.0
2020-04,19677.0
2020-05,23457.0
2020-06,41174.0
2020-07,62304.0
2020-08,64780.0
2020-09,77710.0
2020-10,97118.0
2020-11,77847.0
2020-12,78744.0
2021-01,81492.0
2021-02,77293.0
2021-03,91130.0
2021-04,108921.0
2021-05,98984.0
2021-06,112775.0
2021-07,115520.0
2021-08,117585.0
2021-09,148918.0
2021-10,167411.0
2021-11,182918.0
2021-12,164787.0
2022-01,137590.0
2022-02,145316.0
2022-03,194498.0
2022-04,160878.0
2022-05,180045.0
2022-06,176302.0
2022-07,136617.0
2022-08,145974.8
2022-09,184153.0
2022-10,185090.0
2022-11,188105.0
2022-12,174585.0
2023-01,184342.0
2023-02,161777.0
2023-03,205880.0
2023-04,172132.0
2023-05,209461.0
2023-06,185529.0
2023-07,154544.0
2023-08,168546.0
2023-09,187959.0
2023-10,216273.0
2023-11,201202.0
2023-12,182014.0
2024-01,190031.0
2024-02,176402.0
2024-03,198568.0
2024-04,189724.0
2024-05,214219.0
2024-06,184080.0
2024-07,172023.0
2024-08,165944.0
2024-09,203650.0
2024-10,224901.0
2024-11,192186.0
2024-12,187139.0
2025-01,187674.0
2025-02,171487.0
2025-03,206994.0
2025-04,206174.0
2025-05,217508.0
2025-06,197673.0
2025-07,195889.0
2025-08,182375.0
2025-09,204252.0
2025-10,204480.0
2025-11,180930.0
2025-12,188484.0
2026-01,183301.0
2026-02,167266.0
